"Timestamp","Q1.1 Respondent's initials:","Q1.2 Paper's title","Q1.3 Paper's first author's family name","Q1.4 Publication year:","Q1.5 Publication journal:","Q1.6 Is paper self-describing as containing a meta-analysis (or meta-regression) or actually using meta-analysis/regression approach?","Comment for Q1.6","Q1.7. Is the study's main focus on comparative physiology?","Comment for Q1.7","Q1.8 Paper doi:","Q2.1 What is the type of effect sizes used?","Please also provide a quick note about what the effect size being used is, even if not ""other"". Comment for Q2.1","Q2.2 Does the study investigate any continuous environmental or methodological factors as moderators? (i.e., is it dosage or temperature dependent) ","Comment for Q2.2","Q2.3 Types of statistical models used, as mentioned in the paper or inferred from the descriptions (vote counting, random/fixed MA, MR, hierarchical, etc.)","Comment for Q2.3","Q2.4 Is this a formal meta-analysis (weighted model)?  ","Comment for Q2.4","Q2.5 Does the paper mention (or model) any issues related to data non-independence arising from multiple effect sizes obtained in single studies and/or from phylogenetic relatedness? ","Comment for Q2.5 ","Q2.6 Does the paper test/account for publication bias ?","Comment for Q2.6","Q2.7 Does the paper includes sensitivity analyses?","Comment for Q2.7","Q2.8 Does the paper report heterogeneity values? ","Comment for Q2.8","Q3.1 Does the paper report full list of included studies? ","Comment for Q3.1","Q3.2 What software was used for analyses?","Comment for Q3.2","Q3.3 Is the analysis code provided?","Comment for Q3.3","Q3.4 Is the data provided?","Comment for Q3.4","Q3.5 Where is the data ""hosted""?","Q3.5 Comment","Q3.6 If the data is available, is it ""useable""?","Q3.6 Comments"
"2021/05/26 11:08:14 AM GMT+10","SB and PP","Effects of nutrient limitation on sperm and seminal fluid: a systematic review and meta-analysis","Macartney","2019","Biological Reviews","yes","","yes (i.e., focused only on physiological traits very clearly)","Pretty clear as they compared the sperm and seminal fuilds of different nutrition treatments. ","doi: 10.1111/brv.12524","SMD (d, g, etc.)","""Standardised mean differences (SMDs) were used to compare
the ‘high’ and ‘low’ diets and were calculated as Cohen’s d
coefficients""","yes (if you select ""yes"", please describe in comment)","They explicetely state the degree of diet limitation as a moderator. Unclear whether the others moderators (i.e. type of ejaculate trait, ontogenetic stage, type of diet manipulation) qualify for this question?","random-effects meta-analysis;mixed-effects meta-analysis;hierarchical meta-analysis","Unclear which to select here because hierarchichal meta-analyses are also random-effects meta-analayses and mixed-effects meta-analysis","weighted model","","paper explicitly models non-independence (at least some of it)","","yes, it uses graphical tests (e.g., funnel plot);yes, it uses phylogenetic relationships (tree) in the analyses;yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test;unclear/other","It uses phylogenetic relationships in the analyses, but not as a test for ""publication bias"". It was also removed from the models because the phylogenetic signal was ""very weak"". They also tested for time-lag biases by including publication year as a predictor. ","yes","I^2 total is reported as well as the I^2 for effect-size ID, experiment ID and phylogenetic relatedness. ","yes","They performed leave-one-out analyses and also performed assessments of publication bias on a subset of the effect sizes (removing the effect sizes from one study). ","yes","In the reference section","R metafor;R MCMCglmm","","yes","HOWEVER, the code was deleted from osf! https://osf.io/3sq5g ","yes","Data is available at https://osf.io/3sq5g ","Other (Comment)","OSF","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes","Yes, raw and processed data are provided, with descriptions"
"2021/05/26 11:44:44 AM GMT+10","SB and PP","Effect of the plastic pollutant bisphenol A on the biology of
aquatic organisms: A meta-analysis","Wu","2020","Global Change Biology","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","Yes, it has data on a variety of physiological traits, but it also assess different questions (e.g. abnormalities, behaviour) to have a overall broader perspective.","10.1111/gcb.15127","Response Ratio (lnRR)","They used the natural log-transformed response ratio (lnRR)","yes (if you select ""yes"", please describe in comment)","""The moderator variables included BPA concentration (corrected to μg/L)"" and ""exposure temperature (as degree Celsius; °C)""

They also tested for different developmental stages, sexes, exposure period, population source, biological levels, different traits, and taxonomic groups but we don't think it applies here.
","random-effects meta-analysis;mixed-effects meta-analysis;hierarchical meta-analysis","Unclear which to select here because hierarchichal meta-analyses are also random-effects meta-analayses and mixed-effects meta-analysis ","unclear/other model (add comment)","They did calculate the sampling variance of lnRR, and the rma.mv function so it is a weighted meta-analysis. However, it is not clearly specified as ""weights"". They also measured that they calculated ""sampling error"" etc. ","paper explicitly models non-independence (at least some of it)","","yes, it uses graphical tests (e.g., funnel plot);yes, it uses phylogenetic relationships (tree) in the analyses;yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test;unclear/other","They also modelled time-lag bias with publication year as a predictor. They also modelled phylogenetic relationships, but not as part of publication bias analyses. ","yes","I^2 total was reported and partinioned across random effects. ","yes","They used Cook's distance as a sensitivity analysis","no","It seems like the references to the included studies are only reported in the dataset, but not in the main text or SI. ","R metafor","","yes","Yes, available at https://github.com/nicho​laswu​nz/
","yes","Yes, both raw and processed data available at : https://github.com/nicho​laswu​nz/
","Github","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/05/26 12:30:47 PM GMT+10","SB and PP","Systematic review and meta-analysis of PIT tagging effects
on mortality and growth of juvenile salmonids","Vollset","2020","Reviews in Fish Biology and Fisheries","yes","","unclear/other (add comment)","They invested the effect of tagging on growth (physiological performance) and mortality (more of a life history trait). Not sure whether this is ""focused"" on physiology or not. ","https://doi.org/10.1007/s11160-020-09611-1 (0123456789().,-volV) (01234567 89().,-volV)","unclear/other (add comment) - Describe effect size","They fitted a logistic regression with mortality as a response variable. They also used daily length gain and daily weight gain. They also presented the ratio between fish length and tag length as an effect size in some cases (e.g. Fig 3)","no","They tested the effect of the ratio between tag and fish length, initial weight, time (+ interactions) as predictors but it probably does not fit the environmental and methological category. ","linear regression (including linear mixed-effects model);unclear/other (add comment to describe)","They used linear mixed effect models for their analysis of mortality and growth. However, the models are quite unclear. ","unclear/other model (add comment)","It is very unclear whether, and how they calculated and used weights. It seems like they accounted for different study weights based on Fig. 3; but it is very unclear what this figure shows, and how it was generated. ","unclear/other/not mentioned","In Table 3, they mentionned that they used ""publication"", ""fish group"" and ""time point"" as random terms in the analysis of mortality. However, it was not specified as sources of non-independence and phylogenetic relatedness was not modelled. However, the analysis on growth is not presenting random effects (unclear whether they included them or not).  ","no","No mention of publication bias whatsoever","no","It is unclear whether they performed a weighted meta-analysis. However, they report that ""a meta-analysis of these estimates showed significant heterogeneity"", which we believe is not a proper assessment of heterogeneity. ","unclear/other (add comment)","","yes","The references used for the meta-analysis are listed in the references section (and Tab. 1); but not explicitely separated from the other references. ","unclear/other (add comment)","STATA 16","no","We are not completely sure that the code is provided because the link (https://arkivering.nsd.no/ac1b0003-6ee4-101d-8170-
b00584bb010c#) to data availability displays an error. ","no","We are not completely sure that the data is provided because the link (https://arkivering.nsd.no/ac1b0003-6ee4-101d-8170-
b00584bb010c#) to data availability displays an error. Therefore, it is not ""available""","Other (Comment)","Archived in the Norwegian Center for Research Data.","Other (Comment)","The link to the data is not accessible. "
"2021/05/27 1:52:22 PM GMT+10","SB and PP","Effects of nutrient limitation on sperm and seminal fluid: a systematic review and meta-analysis","Macartney","2019","Biological Reviews","yes","","unclear/other (add comment)","We are not sure whether this paper could be considered ""comparative physiology"" at all; because it does not measure physiological traits as described in the inclusion criteria. This paper measures the effect of nutrient limitation on sperm and seminal fluid quantity/quality. This would fit more the ""reproductive allocation"" category; but they do not test for the effects of physiology on this response variable. ","10.1111/brv.12524","SMD (d, g, etc.)","Cohen's d","yes (if you select ""yes"", please describe in comment)","Yes, they tested for the degree of nutrient limitation. ","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test;yes, time-lag bias","","yes","","yes","","yes","","R metafor;R MCMCglmm","","no","""All data and code can be found at https://osf.io/3sq5g/"". However, the code was deleted and is hence, not available. ","yes","All data and code can be found at https://osf.io/3sq5g/. The data is available though","Other (Comment)","OSF","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/05/27 2:07:14 PM GMT+10","SB and PP","Effect of the plastic pollutant bisphenol A on the biology of
aquatic organisms: A meta-analysis","Wu","2020","Global Change Biology","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","Physiology is not the only focus (e.g. they also test for abnormalities, behaviour, survival)","","Response Ratio (lnRR)","They used the natural log-transformed response ratio (lnRR)","yes (if you select ""yes"", please describe in comment)","They controlled for BPA concentration","multilevel meta-analysis (i.e., intercept only, but has random effects such as study, species, observation-level);meta-regression models (i.e., a multilevel or random effect model with moderators)","","weighted model","","paper explicitly models non-independence (at least some of it)","","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test;yes, time-lag bias","","yes","","yes","","no","There is no reference to the included studies apart from the citations in the dataset. ","R metafor","","yes","""All data sets generated and analysed during the study are avail-
able on the GitHub repository: https://github.com/nicho​laswu​nz/
BPA-meta-analysis.""
The code is provided.","yes","""All data sets generated and analysed during the study are avail-
able on the GitHub repository: https://github.com/nicho​laswu​nz/
BPA-meta-analysis"". The data is provided and usable. ","Github","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
"2021/05/27 2:27:02 PM GMT+10","SB and PP","Systematic review and meta-analysis of PIT tagging effects
on mortality and growth of juvenile salmonids","Vollset","2020","Reviews in Fish Biology and Fisheries","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","They investigate both growth and mortality.","https://doi.org/10.1007/s11160-020-09611-1","unclear/other (add comment) - Describe effect size","They performed two analyses, one with mortality as the response; and the second with growth (daily weight gain or daily length gain) as the response. ","yes (if you select ""yes"", please describe in comment)","Mortality was measured as the cumulative number of deaths across time; and time was used as a predictor. Regarding growth analyses, they controlled for ""initial weight"".","linear regression (including linear mixed-effects model);unclear/other (add comment to describe)","We added ""unclear/other"" because they present, in Fig. 3, a forest plot with different weights but they never mention how it was generated, and what the weights correspond to. ","unclear/other model (add comment)","We don't know whether they weighted some of the estimates, but they probably didn't. In Fig. 3, a forest plot with different weights but they never mention how it was generated, and what the weights correspond to (see Q2.3). ","paper explicitly models non-independence (at least some of it)","They ""included the random effects of publication, fish group, and time point at which a measurement was made."" in the models. ","no","","no","","unclear/other (add comment)","Because we are not sure whether their analyses were weighted, we cannot confidently answer this question","yes","In the References section","unclear/other (add comment)","Stata 16","no","They say that ""Final extracted dataset is available here
https://arkivering.nsd.no/ac1b0003-6ee4-101d-8170-
b00584bb010c#"" but we don't know if this includes the code because we cannot access this link","no","They say that ""Final extracted dataset is available here
https://arkivering.nsd.no/ac1b0003-6ee4-101d-8170-
b00584bb010c#"" but we don't know if this includes the data because we cannot access this link","Other (Comment)","Norwegian Center for Research Data","Other (Comment)","The data is unavailable"
"2021/05/27 2:52:25 PM GMT+10","SB and PP","Swimming performance of marine fish larvae: review of a universal trait under ecological and environmental pressure","Downie","2020","Reviews in Fish Biology and Fisheries","yes","","yes (i.e., focused only on physiological traits very clearly)","They clearly focus on swimming performance (with some growth as well)","https://doi.org/10.1007/s11160-019-09592-w","Response Ratio (lnRR);unclear/other (add comment) - Describe effect size","They did a meta-analysis with the natural log transformed response ratio (lnRR); but also performed additional analyses with growth, length, and Reynold's number as the response variables.","no","Their effect size is dependent on temperature, acidification and their interaction; but they only classified these as categorical variables. e.g., They haven't tested for the effect of temperature of lnRR","meta-regression models (i.e., a multilevel or random effect model with moderators);linear regression (including linear mixed-effects model)","They performed some regular linear regressions without random effects. Their meta-regressions include study_ID and order_ID, but no observation-level random effect. ","weighted model","","paper explicitly models non-independence (at least some of it)","Their meta-regressions include study_ID and order_ID, but no observation-level random effect. ","no","","no","","no","","yes","The list of included studies is in the supplement. ","R metafor;unclear/other (add comment)","They also ran models in base R (i.e. lm function)","no","","no","","Other (Comment)","No data provided","Other (Comment)","Data is not provided"
"2021/05/28 1:30:09 PM GMT+10","SB and PP","Diving deep into trouble: the role of foraging strategy and morphology in adapting to a changing environment","Ladds","2020","Conservation Physiology","unclear/other (add comment)","""meta-analysis"" is one of the keyword, but it is the only time they use this terminology and they do not use meta-analytical methods. They do not self-describe their approach as ""a comparative analysis"", a ""quantitative synthesis"" or any other broad terminology. They just say that they ""analysed"" the data. ","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","They did one part of their analyses on diving, and the other part on physiological traits associated with diving (see e.g. Fig. 1)","10.1093/conphys/coaa111","unclear/other (add comment) - Describe effect size","They did not use traditional effect sizes. Instead they performed regressions using different response variables tionship between all the response variables (""mass, depth, duration, TASD, TBOS, DMR, cADL, dive performance and percentage of dives that exceed the cADL"").","no","Because they did not use traditional effect sizes and did not perform proper comparisons between groups, we don't think think this question applies here.","linear regression (including linear mixed-effects model);unclear/other (add comment to describe)","They performed ANOVAs and Person's correlation tests. ","unclear/other model (add comment)","They performed an ANOVA so the model is not weighted. ","paper deals with non-independence in other than modeling way (e.g., aggregation, sampling)","They summarised the data for each species rather than using individual values. However this does not remove the species non-independence. ","no","","no","","N/A (e.g. they conducted unweighted meta-analysis)","They performed an ANOVA","yes","List of included studies is in the main text (references list)","Other R package","They used MASS for simulating some values and used ""rpshychi"" for performing the ANOVA","no","No code provided","no","No data provided","Other (Comment)","No code or data provided","Other (Comment)","No data provided"
"2021/05/28 1:55:17 PM GMT+10","SB and PP","Abiotic and biotic drivers of fatty acid tracers in ecology: A global analysis of chondrichthyan profiles","Meyer","2019","Functional Ecology","no (add details to comment)","They self-describe their study as a ""global analysis""","yes (i.e., focused only on physiological traits very clearly)","They investigate the effects of different factors on fatty acid profiles","10.1111/1365-2435.13328","unclear/other (add comment) - Describe effect size","Their response variable is the percent contribution of individual fatty acid on the overall fatty acid profile","yes (if you select ""yes"", please describe in comment)","They model the effect of temperature on fatty acid profiles. ","linear regression (including linear mixed-effects model);unclear/other (add comment to describe)","They perfomed PERMANOVA analyses, Canonical analyses of principal coordinates (CAP) and generalized linear models (glm)","unclear/other model (add comment)","They did not perform a meta-analysis, so the question does not apply here","unclear/other/not mentioned","They do not claim that all data are independent. They did include the species Order as a fixed effect, but it's not really meant to account for non-independence. ","no","","no","","N/A (e.g. they conducted unweighted meta-analysis)","They did not perform a meta-analysis","yes","In the ""Data Sources"" section below ""References""","Other R package;unclear/other (add comment)","They used PRIMER v.7/PERMANOVA+ sofware, MuMIn for model averaging, and lme4 for calculating estimates and confidence intervals. ","no","No code provided. ","yes","The data is provided at https://dspace.flinders.edu.au/xmlui/handle/2328/39099 ","Other (Comment)","University archive (Flinders University)","Data is in appropriate format, but the raw data is not provided","The data is in a useable format (csv) but this is not the raw data and the plots/results cannot be generated with it. "
"2021/06/01 9:48:45 AM GMT+10","PP","Big City Living: A Global Meta-Analysis Reveals Positive Impact of Urbanization on Body Size in Lizards","Putman","2020","Frontiers in Ecology and Evolution","yes","","no (i.e., does have physiological traits, but is interested in broader questions involving many different traits)","","https://doi.org/10.3389/fevo.2020.580745","SMD (d, g, etc.)","They used Hedges' g (standardized mean difference)","no","They use the SMD (Hedges'g between urban and non-urban treatments). However, they do not quantify the degree of urbanisation in meta-regressions. ","meta-regression models (i.e., a multilevel or random effect model with moderators)","They did a variety of meta-regressions (with hierarchical random effect structure) but they did not run an intercept model.","weighted model","","paper explicitly models non-independence (at least some of it)","Models include study ID, species ID, phylogeny, urban locality and effect size ID as random effects. ","yes, it uses graphical tests (e.g., funnel plot);yes, it uses regression test (e.g. Egger's regression);yes, it uses trim-and-fill test","","yes","They ran models with reduced data sets to evaluate the robustness of their results. i.e. They removed pseudo-replicated observations on the same group of animals; ran a model with a subset of the data with sex as a moderator; and also removed all data on Anolis lizards. ","yes","","yes","List of included studies is provided in Supplement. ","R metafor","","no","""Further inquieries can be directed to the corresponding author/s""","yes","Data provided in Supplement. ","Online Supplemental Material","","Data is useable. It is in an appropriate format (e.g., .csv, .txt) and contains all raw extracted data to generate effect sizes",""
